"","tFirst","tSecond","type"
"332",2011-11-23 10:45:00,2011-11-23 22:10:00,1
"333",2011-11-23 22:10:00,2011-11-24 10:51:00,2
"334",2011-11-24 10:51:00,2011-11-24 22:06:00,1
"335",2011-11-24 22:06:00,2011-11-25 10:51:12,2
"336",2011-11-25 10:51:12,2011-11-25 22:07:00,1
"337",2011-11-25 22:07:00,2011-11-26 10:51:00,2
"338",2011-11-26 10:51:00,2011-11-26 22:06:00,1
"339",2011-11-26 22:06:00,2011-11-27 10:53:12,2
"340",2011-11-27 10:53:12,2011-11-27 22:14:00,1
"341",2011-11-27 22:14:00,2011-11-28 10:55:00,2
"342",2011-11-28 10:55:00,2011-11-28 22:14:00,1
"343",2011-11-28 22:14:00,2011-11-29 10:53:12,2
"344",2011-11-29 10:53:12,2011-11-29 22:17:12,1
"345",2011-11-29 22:17:12,2011-11-30 10:55:00,2
"346",2011-11-30 10:55:00,2011-11-30 22:17:00,1
"347",2011-11-30 22:17:00,2011-12-01 10:53:00,2
"348",2011-12-01 10:53:00,2011-12-01 22:01:12,1
"349",2011-12-01 22:01:12,2011-12-02 10:49:00,2
"350",2011-12-02 10:49:00,2011-12-02 22:14:00,1
"351",2011-12-02 22:14:00,2011-12-03 10:49:00,2
"352",2011-12-03 10:49:00,2011-12-03 22:12:00,1
"353",2011-12-03 22:12:00,2011-12-04 10:51:12,2
"354",2011-12-04 10:51:12,2011-12-04 22:19:00,1
"355",2011-12-04 22:19:00,2011-12-05 10:57:00,2
"356",2011-12-05 10:57:00,2011-12-05 22:18:00,1
"357",2011-12-05 22:18:00,2011-12-06 10:54:00,2
"358",2011-12-06 10:54:00,2011-12-06 22:17:00,1
"359",2011-12-06 22:17:00,2011-12-07 10:47:12,2
"360",2011-12-07 10:47:12,2011-12-07 22:19:00,1
"361",2011-12-07 22:19:00,2011-12-08 10:55:12,2
"362",2011-12-08 10:55:12,2011-12-08 22:13:12,1
"363",2011-12-08 22:13:12,2011-12-09 10:53:12,2
"364",2011-12-09 10:53:12,2011-12-09 22:19:12,1
"365",2011-12-09 22:19:12,2011-12-10 10:55:00,2
"366",2011-12-10 10:55:00,2011-12-10 22:18:00,1
"367",2011-12-10 22:18:00,2011-12-11 10:56:00,2
"368",2011-12-11 10:56:00,2011-12-11 22:09:12,1
"369",2011-12-11 22:09:12,2011-12-12 10:55:00,2
"370",2011-12-12 10:55:00,2011-12-12 22:17:00,1
"371",2011-12-12 22:17:00,2011-12-13 11:01:12,2
"372",2011-12-13 11:01:12,2011-12-13 22:08:00,1
"373",2011-12-13 22:08:00,2011-12-14 10:55:00,2
"374",2011-12-14 10:55:00,2011-12-14 22:19:12,1
"375",2011-12-14 22:19:12,2011-12-15 11:04:00,2
"376",2011-12-15 11:04:00,2011-12-15 22:17:12,1
"377",2011-12-15 22:17:12,2011-12-16 11:03:00,2
"378",2011-12-16 11:03:00,2011-12-16 22:18:00,1
"379",2011-12-16 22:18:00,2011-12-17 10:59:00,2
"380",2011-12-17 10:59:00,2011-12-17 22:22:00,1
"381",2011-12-17 22:22:00,2011-12-18 11:01:00,2
"382",2011-12-18 11:01:00,2011-12-18 22:21:12,1
"383",2011-12-18 22:21:12,2011-12-19 10:52:00,2
"384",2011-12-19 10:52:00,2011-12-19 22:26:00,1
"385",2011-12-19 22:26:00,2011-12-20 11:01:00,2
"386",2011-12-20 11:01:00,2011-12-20 22:18:00,1
"387",2011-12-20 22:18:00,2011-12-21 11:03:00,2
"388",2011-12-21 11:03:00,2011-12-21 22:26:00,1
"389",2011-12-21 22:26:00,2011-12-22 11:01:12,2
"390",2011-12-22 11:01:12,2011-12-22 22:29:00,1
"391",2011-12-22 22:29:00,2011-12-23 11:01:12,2
"392",2011-12-23 11:01:12,2011-12-23 22:22:00,1
"393",2011-12-23 22:22:00,2011-12-24 11:03:00,2
"394",2011-12-24 11:03:00,2011-12-24 22:22:00,1
"395",2011-12-24 22:22:00,2011-12-25 10:59:00,2
"396",2011-12-25 10:59:00,2011-12-25 22:28:00,1
"397",2011-12-25 22:28:00,2011-12-26 11:06:00,2
"398",2011-12-26 11:06:00,2011-12-26 22:25:12,1
"399",2011-12-26 22:25:12,2011-12-27 11:07:00,2
"400",2011-12-27 11:07:00,2011-12-27 22:22:00,1
"401",2011-12-27 22:22:00,2011-12-28 11:05:00,2
"402",2011-12-28 11:05:00,2011-12-28 22:30:00,1
"403",2011-12-28 22:30:00,2011-12-29 11:07:00,2
"404",2011-12-29 11:07:00,2011-12-29 22:25:12,1
"405",2011-12-29 22:25:12,2011-12-30 11:06:00,2
"406",2011-12-30 11:06:00,2011-12-30 22:29:00,1
"407",2011-12-30 22:29:00,2011-12-31 10:58:00,2
"408",2011-12-31 10:58:00,2011-12-31 22:28:00,1
"409",2011-12-31 22:28:00,2012-01-01 11:07:00,2
"410",2012-01-01 11:07:00,2012-01-01 22:33:00,1
"411",2012-01-01 22:33:00,2012-01-02 11:07:00,2
"412",2012-01-02 11:07:00,2012-01-02 22:26:00,1
"413",2012-01-02 22:26:00,2012-01-03 11:09:00,2
"414",2012-01-03 11:09:00,2012-01-03 22:24:00,1
"415",2012-01-03 22:24:00,2012-01-04 11:09:00,2
"416",2012-01-04 11:09:00,2012-01-04 22:31:12,1
"417",2012-01-04 22:31:12,2012-01-05 11:07:12,2
"418",2012-01-05 11:07:12,2012-01-05 22:31:00,1
"419",2012-01-05 22:31:00,2012-01-06 11:08:00,2
"420",2012-01-06 11:08:00,2012-01-06 22:33:12,1
"421",2012-01-06 22:33:12,2012-01-07 11:08:00,2
"422",2012-01-07 11:08:00,2012-01-07 22:30:00,1
"423",2012-01-07 22:30:00,2012-01-08 11:07:00,2
"424",2012-01-08 11:07:00,2012-01-08 22:27:00,1
"425",2012-01-08 22:27:00,2012-01-09 11:11:12,2
"426",2012-01-09 11:11:12,2012-01-09 22:32:00,1
"427",2012-01-09 22:32:00,2012-01-10 11:07:12,2
"428",2012-01-10 11:07:12,2012-01-10 22:27:00,1
"429",2012-01-10 22:27:00,2012-01-11 11:07:00,2
"430",2012-01-11 11:07:00,2012-01-11 22:33:00,1
"431",2012-01-11 22:33:00,2012-01-12 11:07:00,2
"432",2012-01-12 11:07:00,2012-01-12 22:30:00,1
"433",2012-01-12 22:30:00,2012-01-13 11:09:12,2
"434",2012-01-13 11:09:12,2012-01-13 22:41:00,1
"435",2012-01-13 22:41:00,2012-01-14 11:07:00,2
"436",2012-01-14 11:07:00,2012-01-14 22:41:00,1
"437",2012-01-14 22:41:00,2012-01-15 11:04:00,2
"438",2012-01-15 11:04:00,2012-01-15 22:37:00,1
"439",2012-01-15 22:37:00,2012-01-16 11:07:00,2
"440",2012-01-16 11:07:00,2012-01-16 22:38:00,1
"441",2012-01-16 22:38:00,2012-01-17 11:11:00,2
"442",2012-01-17 11:11:00,2012-01-17 22:40:00,1
"443",2012-01-17 22:40:00,2012-01-18 11:09:00,2
"444",2012-01-18 11:09:00,2012-01-18 22:45:00,1
"445",2012-01-18 22:45:00,2012-01-19 11:07:12,2
"446",2012-01-19 11:07:12,2012-01-19 22:47:00,1
"447",2012-01-19 22:47:00,2012-01-20 11:15:12,2
"448",2012-01-20 11:15:12,2012-01-20 22:45:00,1
